sample_number,cores,matrix_size,time
1,4,100,654.289µs
2,4,100,766.427µs
3,4,100,1.520658ms
4,4,100,1.179239ms
5,4,100,655.952µs
6,4,100,2.296663ms
7,4,100,5.0029ms
8,4,100,2.660731ms
9,4,100,1.136293ms
10,4,100,2.319095ms
11,4,100,1.166632ms
12,4,100,1.137202ms
13,4,100,1.134887ms
14,4,100,1.135586ms
15,4,100,1.179874ms
16,4,100,649.677µs
17,4,100,1.131128ms
18,4,100,654.98µs
19,4,100,1.140429ms
20,4,100,1.180905ms
21,4,100,1.157158ms
22,4,100,1.204184ms
23,4,100,2.153274ms
24,4,100,1.285084ms
25,4,100,1.24933ms
26,4,100,1.193107ms
27,4,100,3.93274ms
28,4,100,9.596174ms
29,4,100,1.663994ms
30,4,100,1.136664ms
31,4,100,1.119737ms
32,4,100,2.323894ms
33,4,100,1.142411ms
34,4,100,2.312267ms
35,4,100,2.26006ms
36,4,100,2.228584ms
37,4,100,2.244082ms
38,4,100,2.266471ms
39,4,100,2.356523ms
40,4,100,1.19109ms
41,4,100,1.162578ms
42,4,100,1.161051ms
43,4,100,1.290727ms
44,4,100,1.783736ms
45,4,100,2.201627ms
46,4,100,1.517396ms
47,4,100,1.175271ms
48,4,100,1.128897ms
49,4,100,1.171021ms
50,4,100,2.214061ms
