sample_number,cores,matrix_size,time
1,2,3000,81.2066
2,2,3000,52.285
3,2,3000,51.4094
4,2,3000,51.5294
5,2,3000,49.2927
6,2,3000,51.7515
7,2,3000,52.3479
8,2,3000,50.3662
9,2,3000,51.8292
10,2,3000,50.4612
11,2,3000,49.9932
12,2,3000,52.0526
13,2,3000,51.3289
14,2,3000,52.6929
15,2,3000,48.9359
16,2,3000,51.0971
17,2,3000,50.825
18,2,3000,50.049
19,2,3000,50.2835
20,2,3000,52.4539
21,2,3000,50.2004
22,2,3000,52.0045
23,2,3000,49.7147
24,2,3000,50.7669
25,2,3000,51.9334
26,2,3000,50.0018
27,2,3000,50.0199
28,2,3000,51.4953
29,2,3000,50.7401
30,2,3000,51.0081
31,2,3000,52.0577
32,2,3000,49.5142
33,2,3000,52.4427
34,2,3000,50.3546
35,2,3000,50.4908
36,2,3000,51.7807
37,2,3000,50.3671
38,2,3000,51.3714
39,2,3000,54.2263
40,2,3000,48.2359
41,2,3000,49.2321
42,2,3000,51.0469
43,2,3000,52.1714
44,2,3000,48.1865
45,2,3000,52.7701
46,2,3000,50.7862
47,2,3000,51.6232
48,2,3000,50.4663
49,2,3000,52.1402
50,2,3000,51.0804
