sample_number,cores,matrix_size,time
1,2,2000,1.91386
2,2,2000,1.92879
3,2,2000,1.91425
4,2,2000,1.93541
5,2,2000,1.93974
6,2,2000,1.90673
7,2,2000,1.91622
8,2,2000,1.92558
9,2,2000,1.91273
10,2,2000,1.91432
11,2,2000,1.89475
12,2,2000,1.91433
13,2,2000,1.91573
14,2,2000,1.90066
15,2,2000,1.93987
16,2,2000,1.89974
17,2,2000,1.94321
18,2,2000,1.93153
19,2,2000,1.93857
20,2,2000,1.93641
21,2,2000,1.91046
22,2,2000,1.93191
23,2,2000,1.93281
24,2,2000,1.89875
25,2,2000,1.91318
26,2,2000,1.94588
27,2,2000,1.91503
28,2,2000,1.90644
29,2,2000,1.92941
30,2,2000,1.89089
31,2,2000,1.91239
32,2,2000,1.93344
33,2,2000,1.91028
34,2,2000,1.92229
35,2,2000,1.91604
36,2,2000,1.91751
37,2,2000,1.94695
38,2,2000,1.93122
39,2,2000,1.92757
40,2,2000,1.89747
41,2,2000,1.92676
42,2,2000,1.93655
43,2,2000,1.92231
44,2,2000,1.92579
45,2,2000,1.91594
46,2,2000,1.9178
47,2,2000,1.90956
48,2,2000,1.9057
49,2,2000,1.90612
50,2,2000,1.93945
