sample_number,cores,matrix_size,time
1,1,100,4.282402ms
2,1,100,4.080102ms
3,1,100,3.866702ms
4,1,100,3.839002ms
5,1,100,4.373103ms
6,1,100,3.656102ms
7,1,100,3.574402ms
8,1,100,3.630902ms
9,1,100,3.782602ms
10,1,100,3.474302ms
11,1,100,3.510302ms
12,1,100,3.537503ms
13,1,100,3.563502ms
14,1,100,3.722803ms
15,1,100,3.721102ms
16,1,100,3.670202ms
17,1,100,3.795403ms
18,1,100,3.658102ms
19,1,100,3.744802ms
20,1,100,3.773103ms
21,1,100,3.567502ms
22,1,100,4.009102ms
23,1,100,3.776003ms
24,1,100,3.759603ms
25,1,100,3.704502ms
26,1,100,3.531403ms
27,1,100,3.682102ms
28,1,100,3.509602ms
29,1,100,3.802102ms
30,1,100,3.878402ms
31,1,100,3.657102ms
32,1,100,3.518703ms
33,1,100,3.617002ms
34,1,100,3.720603ms
35,1,100,3.816802ms
36,1,100,3.738402ms
37,1,100,3.788302ms
38,1,100,3.708902ms
39,1,100,3.588002ms
40,1,100,3.672003ms
41,1,100,3.614902ms
42,1,100,3.580003ms
43,1,100,3.698102ms
44,1,100,3.799302ms
45,1,100,3.775303ms
46,1,100,4.059702ms
47,1,100,4.280203ms
48,1,100,3.664302ms
49,1,100,3.617302ms
50,1,100,3.792103ms
