sample_number,cores,matrix_size,time
1,2,4000,2m3.171316712s
2,2,4000,2m2.603681471s
3,2,4000,2m1.966853335s
4,2,4000,2m1.883078322s
5,2,4000,2m2.176257354s
6,2,4000,2m4.006031012s
7,2,4000,2m1.857348331s
8,2,4000,2m2.750495761s
9,2,4000,2m2.594840867s
10,2,4000,2m3.947826479s
11,2,4000,2m2.20202902s
12,2,4000,2m2.480450421s
13,2,4000,2m2.475045783s
14,2,4000,2m4.250938647s
15,2,4000,2m3.323321188s
16,2,4000,2m2.891694979s
17,2,4000,2m3.452295199s
18,2,4000,2m3.222017984s
19,2,4000,2m1.800227966s
20,2,4000,2m2.529285062s
21,2,4000,2m2.775256125s
22,2,4000,2m2.839313645s
23,2,4000,2m2.38506087s
24,2,4000,2m2.622677808s
25,2,4000,2m3.608721726s
26,2,4000,2m2.820137326s
27,2,4000,2m3.257809012s
28,2,4000,2m2.198138719s
29,2,4000,2m3.190319328s
30,2,4000,2m4.049623053s
31,2,4000,2m4.631350327s
32,2,4000,2m2.936800831s
33,2,4000,2m2.916454208s
34,2,4000,2m3.924283481s
35,2,4000,2m5.149674731s
36,2,4000,2m4.464240081s
37,2,4000,2m4.863626401s
38,2,4000,2m2.352679003s
39,2,4000,2m2.227025781s
40,2,4000,2m2.686787702s
41,2,4000,2m2.105148665s
42,2,4000,2m1.851646002s
43,2,4000,2m1.81021687s
44,2,4000,2m3.321320424s
45,2,4000,2m2.079443566s
46,2,4000,2m2.717580292s
47,2,4000,2m3.678259414s
48,2,4000,2m2.323021046s
49,2,4000,2m2.357393472s
50,2,4000,2m2.227491969s
