sample_number,cores,matrix_size,time
1,2,5000,22.5282
2,2,5000,22.6377
3,2,5000,22.7527
4,2,5000,22.5164
5,2,5000,23.3449
6,2,5000,22.5537
7,2,5000,22.7092
8,2,5000,22.501
9,2,5000,23.7018
10,2,5000,22.4986
11,2,5000,22.9881
12,2,5000,22.6719
13,2,5000,23.3313
14,2,5000,24.2922
15,2,5000,22.6205
16,2,5000,22.7867
17,2,5000,23.886
18,2,5000,22.781
19,2,5000,22.934
20,2,5000,23.1607
21,2,5000,22.6615
22,2,5000,22.7873
23,2,5000,22.7096
24,2,5000,23.6435
25,2,5000,22.6297
26,2,5000,22.5805
27,2,5000,23.0438
28,2,5000,22.4974
29,2,5000,22.8285
30,2,5000,22.6079
31,2,5000,22.6867
32,2,5000,22.8363
33,2,5000,22.6206
34,2,5000,22.6233
35,2,5000,22.744
36,2,5000,22.9249
37,2,5000,23.4078
38,2,5000,22.6244
39,2,5000,22.7912
40,2,5000,23.5777
41,2,5000,22.8212
42,2,5000,22.9102
43,2,5000,22.7621
44,2,5000,22.66
45,2,5000,22.9881
46,2,5000,22.6579
47,2,5000,22.4572
48,2,5000,22.6231
49,2,5000,23.1415
50,2,5000,22.6557
