sample_number,cores,matrix_size,time
1,4,2000,4.125488107s
2,4,2000,4.377087698s
3,4,2000,4.449670401s
4,4,2000,4.478168907s
5,4,2000,4.38824732s
6,4,2000,4.40267638s
7,4,2000,4.324177095s
8,4,2000,4.346815007s
9,4,2000,4.097622315s
10,4,2000,4.524377946s
11,4,2000,4.438852719s
12,4,2000,4.295804837s
13,4,2000,4.098118209s
14,4,2000,4.393022702s
15,4,2000,4.495453151s
16,4,2000,4.50766922s
17,4,2000,4.476344011s
18,4,2000,4.475162179s
19,4,2000,4.26882485s
20,4,2000,4.491397994s
21,4,2000,4.373192043s
22,4,2000,4.446214058s
23,4,2000,4.292429114s
24,4,2000,4.269124822s
25,4,2000,4.312735251s
26,4,2000,4.423411289s
27,4,2000,4.497964197s
28,4,2000,4.386903644s
29,4,2000,4.486108943s
30,4,2000,4.397166491s
31,4,2000,4.456904398s
32,4,2000,4.440387495s
33,4,2000,4.444549724s
34,4,2000,4.340222359s
35,4,2000,4.428051649s
36,4,2000,4.458151519s
37,4,2000,4.494122032s
38,4,2000,4.211925783s
39,4,2000,4.4962293s
40,4,2000,4.366216836s
41,4,2000,4.433148549s
42,4,2000,4.383272648s
43,4,2000,4.407896631s
44,4,2000,4.430857062s
45,4,2000,4.12660473s
46,4,2000,4.381634409s
47,4,2000,4.459899189s
48,4,2000,4.504203464s
49,4,2000,4.367635117s
50,4,2000,4.462085237s
