sample_number,cores,matrix_size,time
1,2,100,4.808919ms
2,2,100,3.874488ms
3,2,100,4.495287ms
4,2,100,3.781736ms
5,2,100,4.418716ms
6,2,100,3.97781ms
7,2,100,3.970301ms
8,2,100,3.73941ms
9,2,100,3.800319ms
10,2,100,4.097902ms
11,2,100,3.72937ms
12,2,100,3.755557ms
13,2,100,3.907022ms
14,2,100,4.113908ms
15,2,100,3.820069ms
16,2,100,3.824218ms
17,2,100,3.768686ms
18,2,100,3.664847ms
19,2,100,4.64051ms
20,2,100,4.375329ms
21,2,100,3.747126ms
22,2,100,3.726271ms
23,2,100,3.73289ms
24,2,100,4.086479ms
25,2,100,4.099045ms
26,2,100,4.160288ms
27,2,100,3.770165ms
28,2,100,3.628123ms
29,2,100,3.706509ms
30,2,100,4.045982ms
31,2,100,3.69063ms
32,2,100,3.748097ms
33,2,100,3.717745ms
34,2,100,3.68281ms
35,2,100,3.753531ms
36,2,100,3.726091ms
37,2,100,3.679355ms
38,2,100,3.948638ms
39,2,100,3.845146ms
40,2,100,4.105857ms
41,2,100,4.483823ms
42,2,100,3.626306ms
43,2,100,3.701679ms
44,2,100,3.737834ms
45,2,100,3.660437ms
46,2,100,3.806053ms
47,2,100,3.699411ms
48,2,100,3.736436ms
49,2,100,3.752596ms
50,2,100,3.720059ms
